Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
China,Aug 4-6,8,Meg 2: The Trench,China Media Capital,"$53,400,000"
United Kingdom,Aug 4-6,40,Barbie,Warner Bros.,"$10,092,123"
Mexico,Aug 4-6,14,Meg 2: The Trench,Warner Bros.,"$7,997,564"
Australia,Aug 3-6,14,Barbie,Warner Bros.,"$7,700,000"
Germany,Aug 3-6,23,Barbie,Warner Bros.,"$7,486,954"
South Korea,Aug 4-6,42,Smugglers,Walt Disney Pictures,"$7,032,652"
France,Aug 2-6,35,Barbie,Warner Bros.,"$5,702,245"
Japan,Aug 5-6,18,Kingdom 3,Universal Pictures International (UPI),"$4,195,679"
Italy,Aug 3-6,25,Barbie,Sony Pictures Releasing,"$3,464,159"
Spain,Aug 4-6,48,Meg 2: The Trench,Warner Bros.,"$3,426,635"
Netherlands,Aug 3-6,35,Oppenheimer,Universal Pictures International (UPI),"$2,794,016"
Brazil,Aug 3-6,14,Oppenheimer,Universal Pictures International (UPI),"$1,951,518"
Hong Kong,Aug 3-6,18,Oppenheimer,Universal Pictures International (UPI),"$1,786,632"
India,Aug 4-6,10,Oppenheimer,Universal Pictures International (UPI),"$1,664,828"
United Arab Emirates,Aug 3-6,34,Meg 2: The Trench,Warner Bros.,"$1,657,358"
Switzerland,Aug 2-6,16,Oppenheimer,Universal Pictures International (UPI),"$1,620,692"
Belgium,Aug 2-6,14,Oppenheimer,Universal Pictures International (UPI),"$1,477,607"
Denmark,Aug 3-6,13,Oppenheimer,Universal Pictures International (UPI),"$1,161,945"
Poland,Aug 4-6,21,Oppenheimer,Universal Pictures International (UPI),"$1,147,356"
Colombia,Aug 3-6,30,Meg 2: The Trench,Warner Bros.,"$1,059,599"
Saudi Arabia,Aug 3-6,2,Oppenheimer,Universal Pictures International (UPI),"$1,039,676"
New Zealand,Aug 3-6,67,Barbie,Warner Bros.,"$1,030,511"
Russia/CIS,Aug 3-6,108,Baba Yaga spasyot mir,-,"$1,024,812"
Austria,Aug 3-6,15,Oppenheimer,Universal Pictures International (UPI),"$919,691"
Sweden,Aug 4-6,14,Oppenheimer,Universal Pictures International (UPI),"$818,322"
Norway,Aug 4-6,24,Barbie,Sandrew Metronome Distribution Sverige AB,"$776,614"
Taiwan,Aug 4-6,13,Oppenheimer,Universal Pictures International (UPI),"$749,142"
Czech Republic,Aug 3-6,20,Barbie,Vertical Entertainment,"$731,694"
Argentina,Aug 3-6,13,Oppenheimer,Universal Pictures International (UPI),"$679,673"
Central America,Aug 3-6,5,Oppenheimer,Universal Pictures International (UPI),"$605,526"
Finland,Aug 4-6,12,Oppenheimer,Universal Pictures International (UPI),"$593,046"
TÃ¼rkiye,Aug 4-6,31,Oppenheimer,Universal Pictures International (UPI),"$586,243"
Chile,Aug 3-6,12,Oppenheimer,Universal Pictures International (UPI),"$541,967"
Hungary,Aug 3-6,38,Barbie,InterCom,"$480,457"
Portugal,Aug 3-6,30,Barbie,Zon Lusomundo Audiovisuais,"$477,015"
Singapore,Aug 3-6,10,Oppenheimer,Universal Pictures International (UPI),"$472,799"
Middle East Other,Aug 3-6,2,Oppenheimer,Universal Pictures International (UPI),"$447,946"
Ukraine,Aug 3-6,5,Oppenheimer,Universal Pictures International (UPI),"$382,320"
Israel,Aug 3-6,9,Oppenheimer,Universal Pictures International (UPI),"$378,307"
Peru,Aug 3-6,6,Oppenheimer,Universal Pictures International (UPI),"$375,128"
Philippines,Aug 2-6,9,Oppenheimer,Universal Pictures International (UPI),"$310,896"
Slovakia,Aug 3-6,21,Nikdy nehovor nikdy,Bontonfilm,"$310,309"
South Africa,Aug 4-6,16,Barbie,-,"$309,454"
Malaysia,Aug 3-6,10,Oppenheimer,Universal Pictures International (UPI),"$290,498"
Indonesia,Aug 2-6,10,Oppenheimer,Universal Pictures International (UPI),"$286,980"
Vietnam,Aug 4-6,17,Detective Conan: Black Iron Submarine,-,"$283,800"
Thailand,Aug 3-6,9,Oppenheimer,Universal Pictures International (UPI),"$263,600"
Romania,Aug 4-6,15,Meg 2: The Trench,Vertical Entertainment,"$245,303"
Serbia and Montenegro,Aug 3-6,12,Oppenheimer,-,"$209,753"
Egypt,Aug 2-6,1,Oppenheimer,Universal Pictures International (UPI),"$196,694"
Croatia,Aug 3-6,22,Meg 2: The Trench,-,"$183,814"
Lebanon,Aug 3-6,2,Oppenheimer,Universal Pictures,"$180,863"
Ecuador,Aug 4-6,1,Oppenheimer,Times Media Films,"$169,303"
Bulgaria,Aug 4-6,29,Meg 2: The Trench,Alexandra Films,"$139,503"
Lithuania,Aug 4-6,19,Oppenheimer,Universal Pictures International (UPI),"$108,085"
Slovenia,Aug 3-6,10,Barbie,-,"$87,145"
Uruguay,Aug 3-6,3,Oppenheimer,Times Media Films,"$86,400"
Estonia,Aug 4-6,5,Oppenheimer,-,"$80,479"
Iceland,Aug 4-6,5,Barbie,Sam Film,"$65,658"
Pakistan,Aug 2-6,1,Oppenheimer,-,"$58,930"
Bolivia,Aug 3-6,3,Oppenheimer,Universal Pictures International (UPI),"$54,623"
Latvia,Aug 4-6,4,Oppenheimer,Universal Pictures International (UPI),"$42,396"
Trinidad & Tobago,Aug 2-6,1,Oppenheimer,-,"$41,599"
Paraguay,Aug 4-6,1,Oppenheimer,Universal Pictures International (UPI),"$37,953"
Cyprus,Aug 4-6,1,Oppenheimer,Universal Pictures,"$33,937"
Sri Lanka,Aug 4-6,1,Oppenheimer,Universal Pictures International (UPI),"$23,581"
Albania,Aug 5-6,1,Oppenheimer,Universal Pictures International (UPI),"$16,153"
Mongolia,Aug 4-6,2,Oppenheimer,Universal Pictures International (UPI),"$13,324"
Kenya,Aug 2-6,1,Oppenheimer,Universal Pictures International (UPI),"$9,540"
North Macedonia,Aug 4-6,1,Oppenheimer,Universal Pictures International (UPI),"$8,564"
Nigeria,Aug 2-6,2,Oppenheimer,Universal Pictures International (UPI),"$8,102"
Bangladesh,Aug 4-6,1,Oppenheimer,Universal Pictures International (UPI),"$7,288"
Bosnia and Herzegovina,Aug 3-6,3,-,-,-
Venezuela,Jul 28-30,3,Oppenheimer,Universal Pictures International (UPI),"$105,534"
Greece,Jul 27-30,10,About My Father,-,"$34,791"
Kuwait,Jul 27-30,2,Cobweb,Phars Film,"$24,542"
Qatar,Jul 27-30,2,Cobweb,Phars Film,"$5,394"
Jordan,Jul 27-30,3,Cobweb,Phars Film,"$4,568"
Bahrain,Jul 27-30,2,Cobweb,Phars Film,"$2,524"
Oman,Jul 27-30,3,Cobweb,Phars Film,"$1,612"
Iraq,Jul 28-30,3,Cobweb,Phars Film,"$1,493"
Aruba,Jul 28-30,3,Cobweb,-,$792
Cambodia,Jul 21-23,1,The Roundup: No Way Out,Clover Films,$218
Switzerland (German),Jul 20-23,1,About My Father,Ascot Elite Entertainment Group,$89
